address,name,category
0x3014ca10b91cb3d0ad85fef7a3cb95bcac9c0f79,Fuse: Native Bridge,Bridge
0x30f938fed5de6e06a9a7cd2ac3517131c317b1e7,Giveth: Trace Bridge,Bridge
0x75ace7a086ea0fb1a79e43cc6331ad053d8c67cb,Gluon Network,Bridge
0x88ad09518695c6c3712ac10a214be5109a655671,Gnosis Chain: Omni Bridge,Bridge
0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,Gnosis Chain: xDai Bridge,Bridge
0x7e7669bdff02f2ee75b68b91fb81c2b38f9228c2,Gnosis: Foreign Bridge,Bridge
0x6ea6c65e14661c0bcab5bc862fe5e7d3b5630c2f,Gnosis: GEN-xGEN Bridge,Bridge
0x7301cfa0e1756b71869e93d4e4dca5c7d0eb0aa6,Gnosis: Home Bridge,Bridge
0x9f9c8ec3534c3ce16f928381372bfbfbfb9f4d24,GraphLinq (GLQ),Bridge
0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906,Gravity Bridge: Bridge,Bridge
0xa929022c9107643515f5c777ce9a910f0d1e490c,HECO Chain: Bridge,Bridge
0xfd53b1b4af84d59b20bf2c20ca89a6beeaa2c628,Harmony: BUSD Bridge,Bridge
0x2dccdb493827e15a5dc8f8b72147e6c4a5620857,Harmony: ERC20 Bridge,Bridge
0x426a61a2127fdd1318ec0edce02474f382fdad30,Harmony: ERC721 Bridge,Bridge
0xf9fb1c508ff49f78b60d3a96dea99fa5d7f3a8a6,Harmony: ETH Bridge,Bridge
0xfe601de9d4295274b9904d5a9ad7069f23ee2b32,Harmony: LINK Bridge,Bridge
0x4d34e61caf7a3622759d69e48ccdeb8dee5021e8,Harmony: ONE Bridge,Bridge
0x1bd0029385f95ad2584cdfaf5c19f3f20651def6,Harmony: Token Bridge,Bridge
0xe2e3441004e7d377a2d97142e75d465e0dd36af9,Hashflow: Bridge,Bridge
0xa12ca1b75ad1c73ca610d9788d4d7dcb5caee012,HeartBridge (HEART),Bridge
0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,Hop (HOP),Bridge
0x305933e09871d4043b5036e09af794facb3f6170,Hop Protocol: DAI Bonder,Bridge
0x10b6cbdfe187c04d63f179b87067c49e7a1e91af,Hop Protocol: DAI Bonder V2,Bridge
0x3d4cc8a61c7528fd86c55cfe061a78dcba48edd1,Hop Protocol: DAI Bridge,Bridge
0x723194c6cfed24883b598931ee802ab80952c001,Hop Protocol: DAI Wrapper,Bridge
0x34afcc4704b6a342007174a4ce361929521fcb90,Hop Protocol: ETH Arbitrum Wrapper,Bridge
0x710bda329b2a6224e4b44833de30f38e7f81d564,Hop Protocol: ETH Bonder,Bridge
0x25fb92e505f752f730cad0bd4fa17ece4a384266,Hop Protocol: ETH Gnossis Bridge,Bridge
0x64e5a143a3775a500bf19e609e1a74a5cbc3bb2a,Hop Protocol: ETH OP Messenger,Bridge
